site,nodeclass,bucket,count
ctor,RefArr,2,1641243
ctor,RefArr,3,447592
ctor,RefArr,4-8,399940
ctor,RefArr,9-32,150007
ctor,RefArr,33+,21295
ctor,RefOne,1,9979255
ctor,RefPrepend,2,394389
ctor,RefPrepend,3,159551
ctor,RefPrepend,4-8,160400
ctor,RefPrepend,9-32,62869
ctor,RefPrepend,33+,33199
ctor,RefAppend,2,156411
ctor,RefAppend,3,60980
ctor,RefAppend,4-8,116212
ctor,RefAppend,9-32,64845
ctor,RefAppend,33+,1526
ctor,Concat,2,171199
ctor,Concat,3,87695
ctor,Concat,4-8,143786
ctor,Concat,9-32,44402
ctor,Concat,33+,17418
ctor,SliceNode,2,481223
ctor,SliceNode,3,202322
ctor,SliceNode,4-8,292346
ctor,SliceNode,9-32,153072
ctor,SliceNode,33+,93336
ctor,ReverseNode,2,57077
ctor,ReverseNode,3,72252
ctor,ReverseNode,4-8,37264
ctor,ReverseNode,9-32,10449
ctor,ReverseNode,33+,2210
ctor,RangeNode,2,5739
ctor,RangeNode,3,1203
ctor,RangeNode,4-8,1112
ctor,RangeNode,9-32,49
ctor,Empty,0,1
ctor,PrimArr,2,12739
ctor,PrimArr,3,5676
ctor,PrimArr,4-8,4605
ctor,PrimArr,9-32,310
ctor,PrimArr,33+,5
ctor,PrimOne,1,61538
ctor,PrimAppend,2,2
ctor,PrimAppend,3,1
ctor,PrimAppend,4-8,3
ctor,Updated,2,464
ctor,Updated,3,23
ctor,Updated,4-8,60
ctor,FlatMap,9-32,254
ctor,FlatMap,33+,32
dfs,RefArr,2,15800
dfs,RefArr,3,9774
dfs,RefArr,4-8,37808
dfs,RefArr,9-32,26391
dfs,RefArr,33+,7008
dfs,RefOne,1,763
dfs,RefPrepend,2,78650
dfs,RefPrepend,3,53264
dfs,RefPrepend,4-8,98437
dfs,RefPrepend,9-32,11127
dfs,RefPrepend,33+,81
dfs,RefAppend,2,21091
dfs,RefAppend,3,15163
dfs,RefAppend,4-8,12514
dfs,RefAppend,9-32,46
dfs,RefAppend,33+,2
dfs,Concat,2,13352
dfs,Concat,3,5619
dfs,Concat,4-8,2981
dfs,Concat,9-32,444
dfs,Concat,33+,35
dfs,SliceNode,2,2386
dfs,SliceNode,3,494
dfs,SliceNode,4-8,849
dfs,SliceNode,9-32,24
dfs,ReverseNode,2,23869
dfs,ReverseNode,3,23210
dfs,ReverseNode,4-8,50285
dfs,ReverseNode,9-32,28619
dfs,ReverseNode,33+,7014
dfs,Empty,0,250390
dfs,FlatMap,9-32,73
at,RefOne,1,30870662
at,RefPrepend,2,2001873
at,RefPrepend,3,816705
at,RefPrepend,4-8,641000
at,RefPrepend,9-32,167515
at,RefPrepend,33+,90528
at,RefAppend,2,421783
at,RefAppend,3,251227
at,RefAppend,4-8,104675
at,RefAppend,9-32,13818
at,RefAppend,33+,7753
at,Concat,2,803535
at,Concat,3,556522
at,Concat,4-8,496725
at,Concat,9-32,219520
at,Concat,33+,173395
at,SliceNode,2,40198
at,SliceNode,3,22439
at,SliceNode,4-8,17784
at,SliceNode,9-32,5308
at,SliceNode,33+,31466
at,ReverseNode,2,38017
at,ReverseNode,3,30909
at,ReverseNode,4-8,91126
at,ReverseNode,9-32,84416
at,ReverseNode,33+,32436
at,PrimArr,2,1922
at,PrimArr,3,999
at,PrimArr,4-8,1379
at,PrimArr,9-32,13
at,PrimOne,1,7265
at,PrimAppend,2,4
at,PrimAppend,3,3
at,PrimAppend,4-8,15
at,Updated,2,3963
at,Updated,3,196
at,Updated,4-8,743
at,FlatMap,9-32,294
fold,RefArr,2,962173
fold,RefArr,3,277260
fold,RefArr,4-8,179446
fold,RefArr,9-32,23934
fold,RefArr,33+,2131
fold,RefOne,1,7222906
fold,RefPrepend,2,95779
fold,RefPrepend,3,28167
fold,RefPrepend,4-8,15531
fold,RefPrepend,9-32,3931
fold,RefPrepend,33+,218
fold,RefAppend,2,13520
fold,RefAppend,3,14428
fold,RefAppend,4-8,146
fold,RefAppend,9-32,3
fold,RefAppend,33+,2
fold,Concat,2,54104
fold,Concat,3,20923
fold,Concat,4-8,11038
fold,Concat,9-32,3647
fold,Concat,33+,77
fold,SliceNode,2,6309
fold,SliceNode,3,2885
fold,SliceNode,4-8,3349
fold,SliceNode,9-32,593
fold,SliceNode,33+,22
fold,ReverseNode,2,8649
fold,ReverseNode,3,48946
fold,ReverseNode,4-8,15678
fold,ReverseNode,9-32,3441
fold,ReverseNode,33+,411
fold,RangeNode,2,3387
fold,RangeNode,3,1074
fold,RangeNode,4-8,924
fold,RangeNode,9-32,41
fold,Empty,0,3180068
fold,PrimArr,2,11203
fold,PrimArr,3,5245
fold,PrimArr,4-8,4041
fold,PrimArr,9-32,282
fold,PrimArr,33+,1
fold,PrimOne,1,39658
fold,Updated,2,38
fold,Updated,3,2
fold,FlatMap,9-32,2
map,RefArr,2,369333
map,RefArr,3,102948
map,RefArr,4-8,99538
map,RefArr,9-32,20329
map,RefArr,33+,386
map,RefOne,1,2493329
map,RefPrepend,2,75904
map,RefPrepend,3,23841
map,RefPrepend,4-8,14836
map,RefPrepend,9-32,1495
map,RefPrepend,33+,221
map,RefAppend,2,3805
map,RefAppend,3,1330
map,RefAppend,4-8,481
map,RefAppend,9-32,4
map,RefAppend,33+,2
map,Concat,2,123293
map,Concat,3,51327
map,Concat,4-8,44350
map,Concat,9-32,4320
map,Concat,33+,143
map,SliceNode,2,5336
map,SliceNode,3,1052
map,SliceNode,4-8,449
map,SliceNode,9-32,32
map,SliceNode,33+,5
map,ReverseNode,2,1111
map,ReverseNode,3,1540
map,ReverseNode,4-8,363
map,ReverseNode,9-32,51
map,ReverseNode,33+,6
map,RangeNode,2,329
map,RangeNode,3,70
map,RangeNode,4-8,58
map,RangeNode,9-32,7
map,Empty,0,1100207
map,PrimArr,2,46
map,PrimArr,9-32,3
map,PrimArr,33+,1
map,PrimOne,1,13455
map,Updated,2,18
map,Updated,3,2
map,FlatMap,9-32,133
map,FlatMap,33+,11
filter,RefArr,2,38272
filter,RefArr,3,12075
filter,RefArr,4-8,28067
filter,RefArr,9-32,22796
filter,RefArr,33+,2330
filter,RefOne,1,221112
filter,RefPrepend,2,3546
filter,RefPrepend,3,1784
filter,RefPrepend,4-8,9776
filter,RefPrepend,9-32,8369
filter,RefPrepend,33+,142
filter,Concat,2,16456
filter,Concat,3,4450
filter,Concat,4-8,3036
filter,Concat,9-32,561
filter,Concat,33+,97
filter,SliceNode,2,1043
