site,nodeclass,bucket,count
ctor,RefArr,2,1127425
ctor,RefArr,3,183075
ctor,RefArr,4-8,332482
ctor,RefArr,9-32,414492
ctor,RefArr,33+,4589
ctor,RefOne,1,5658245
ctor,RefPrepend,2,364643
ctor,RefPrepend,3,80330
ctor,RefPrepend,4-8,244402
ctor,RefPrepend,9-32,54926
ctor,RefPrepend,33+,44001
ctor,RefAppend,2,35173
ctor,RefAppend,3,17415
ctor,RefAppend,4-8,3310
ctor,RefAppend,9-32,388
ctor,RefAppend,33+,117
ctor,Concat,2,10441
ctor,Concat,3,6937
ctor,Concat,4-8,14164
ctor,Concat,9-32,5320
ctor,Concat,33+,1106
ctor,SliceNode,2,99377
ctor,SliceNode,3,54501
ctor,SliceNode,4-8,70461
ctor,SliceNode,9-32,38765
ctor,SliceNode,33+,5795
ctor,ReverseNode,2,9251
ctor,ReverseNode,3,19145
ctor,ReverseNode,4-8,11378
ctor,ReverseNode,9-32,3806
ctor,ReverseNode,33+,506
ctor,RangeNode,2,5217
ctor,RangeNode,3,1171
ctor,RangeNode,4-8,2189
ctor,RangeNode,9-32,217
ctor,Empty,0,1
ctor,PrimArr,2,12933
ctor,PrimArr,3,1195
ctor,PrimArr,4-8,4048
ctor,PrimArr,9-32,71
ctor,PrimArr,33+,5
ctor,PrimOne,1,61941
ctor,PrimAppend,2,2
ctor,PrimAppend,3,1
ctor,PrimAppend,4-8,3
ctor,Updated,2,77
ctor,Updated,3,13
ctor,Updated,4-8,1
ctor,FlatMap,9-32,37
ctor,FlatMap,33+,1
dfs,RefArr,2,1759
dfs,RefArr,3,1675
dfs,RefArr,4-8,6982
dfs,RefArr,9-32,5555
dfs,RefArr,33+,1049
dfs,RefOne,1,33
dfs,RefPrepend,2,32937
dfs,RefPrepend,3,15495
dfs,RefPrepend,4-8,310205
dfs,RefPrepend,9-32,6565
dfs,RefPrepend,33+,21
dfs,RefAppend,2,2136
dfs,RefAppend,3,183
dfs,RefAppend,4-8,1210
dfs,RefAppend,33+,1
dfs,Concat,2,1520
dfs,Concat,3,707
dfs,Concat,4-8,289
dfs,Concat,9-32,61
dfs,Concat,33+,7
dfs,SliceNode,2,300
dfs,SliceNode,3,1
dfs,SliceNode,4-8,18
dfs,ReverseNode,2,3641
dfs,ReverseNode,3,5517
dfs,ReverseNode,4-8,10218
dfs,ReverseNode,9-32,6593
dfs,ReverseNode,33+,1056
dfs,Empty,0,15323
dfs,FlatMap,9-32,7
at,RefOne,1,30357887
at,RefPrepend,2,1438881
at,RefPrepend,3,322198
at,RefPrepend,4-8,355672
at,RefPrepend,9-32,1139154
at,RefPrepend,33+,11780
at,RefAppend,2,236830
at,RefAppend,3,60511
at,RefAppend,4-8,3955
at,RefAppend,9-32,2175
at,RefAppend,33+,1715
at,Concat,2,25568
at,Concat,3,15092
at,Concat,4-8,34266
at,Concat,9-32,36480
at,Concat,33+,18181
at,SliceNode,2,24463
at,SliceNode,3,12328
at,SliceNode,4-8,3634
at,SliceNode,9-32,652
at,SliceNode,33+,4
at,ReverseNode,2,9121
at,ReverseNode,3,7075
at,ReverseNode,4-8,15567
at,ReverseNode,9-32,11507
at,ReverseNode,33+,1815
at,PrimArr,2,10418
at,PrimArr,3,1335
at,PrimArr,4-8,7597
at,PrimArr,9-32,51
at,PrimOne,1,11320
at,PrimAppend,2,4
at,PrimAppend,3,3
at,PrimAppend,4-8,15
at,Updated,2,604
at,Updated,3,130
at,Updated,4-8,499
at,FlatMap,9-32,189
fold,RefArr,2,302156
fold,RefArr,3,53067
fold,RefArr,4-8,113095
fold,RefArr,9-32,22030
fold,RefArr,33+,277
fold,RefOne,1,2422740
fold,RefPrepend,2,17808
